City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
100,severo-kurilsk,RU,2022-05-27 04:14:43,50.6789,156.125,44.22,83,21,4.0,few clouds,0.0,0
101,belousovka,KZ,2022-05-27 04:14:43,50.1339,82.5239,77.85,44,0,4.47,clear sky,0.0,0
102,san ramon de la nueva oran,AR,2022-05-27 04:10:38,-23.1322,-64.326,58.42,83,100,0.96,overcast clouds,0.0,0
103,port blair,IN,2022-05-27 04:14:44,11.6667,92.75,83.86,77,72,16.73,broken clouds,0.0,0
104,talcahuano,CL,2022-05-27 04:14:44,-36.7167,-73.1167,40.68,81,0,5.75,clear sky,0.0,0
105,thompson,CA,2022-05-27 04:14:44,55.7435,-97.8558,33.96,100,100,6.91,light intensity drizzle,0.0,0
106,grand gaube,MU,2022-05-27 04:14:45,-20.0064,57.6608,74.37,68,1,1.99,clear sky,0.0,0
107,new norfolk,AU,2022-05-27 04:14:45,-42.7826,147.0587,58.91,71,97,1.01,overcast clouds,0.0,0
108,khatanga,RU,2022-05-27 04:14:46,71.9667,102.5,35.85,62,100,7.2,overcast clouds,0.0,0
109,chuy,UY,2022-05-27 04:14:46,-33.6971,-53.4616,57.79,96,99,3.13,overcast clouds,0.0,0
110,pisco,PE,2022-05-27 04:14:47,-13.7,-76.2167,62.65,82,100,3.44,mist,0.0,0
111,buraydah,SA,2022-05-27 04:14:47,26.326,43.975,81.46,17,5,21.43,clear sky,0.0,0
112,kapaa,US,2022-05-27 04:14:47,22.0752,-159.319,78.78,72,40,9.22,scattered clouds,0.0,0
113,katsuura,JP,2022-05-27 04:14:48,35.1333,140.3,68.72,96,100,26.35,overcast clouds,0.0,0
114,klaksvik,FO,2022-05-27 04:14:48,62.2266,-6.589,47.32,78,7,13.0,clear sky,0.0,0
115,vila velha,BR,2022-05-27 04:14:48,-20.3297,-40.2925,63.95,93,0,0.0,clear sky,0.0,0
116,cairns,AU,2022-05-27 04:14:49,-16.9167,145.7667,85.06,62,40,8.05,scattered clouds,0.0,0
117,russell,US,2022-05-27 04:13:16,32.3502,-85.1999,69.4,94,100,0.0,overcast clouds,0.0,0
118,puro,PH,2022-05-27 04:14:49,12.4841,123.3827,86.81,62,83,0.09,broken clouds,0.0,0
119,faanui,PF,2022-05-27 04:14:49,-16.4833,-151.75,80.92,66,3,13.87,clear sky,0.0,0
120,isangel,VU,2022-05-27 04:14:50,-19.55,169.2667,80.37,71,14,4.36,few clouds,0.0,0
121,saint-augustin,CA,2022-05-27 04:14:50,51.226,-58.6502,42.71,64,100,5.41,overcast clouds,0.0,0
122,linhares,BR,2022-05-27 04:14:51,-19.3911,-40.0722,63.01,86,4,4.07,clear sky,0.0,0
123,vestmannaeyjar,IS,2022-05-27 04:14:51,63.4427,-20.2734,45.82,74,7,13.02,clear sky,0.0,0
124,soyo,AO,2022-05-27 04:14:52,-6.1349,12.3689,73.11,87,79,6.73,broken clouds,0.0,0
125,sinegorye,RU,2022-05-27 04:14:52,62.0788,150.477,40.62,93,100,6.46,light rain,0.0,0
126,castro,BR,2022-05-27 04:14:53,-24.7911,-50.0119,54.21,85,96,2.28,overcast clouds,0.0,0
127,bathsheba,BB,2022-05-27 04:14:53,13.2167,-59.5167,81.21,78,40,17.27,scattered clouds,0.0,0
128,vila franca do campo,PT,2022-05-27 04:14:53,37.7167,-25.4333,61.21,85,71,4.32,broken clouds,0.0,0
